iters:7650, batch:0, loss:0.000730505 
iters:7700, batch:0, loss:0.00072983 
iters:7750, batch:0, loss:0.000729156 
iters:7800, batch:0, loss:0.000728482 
iters:7850, batch:0, loss:0.00072781 
iters:7900, batch:0, loss:0.000727138 
iters:7950, batch:0, loss:0.00072647 
iters:8000, batch:0, loss:0.0007258 
iters:8050, batch:0, loss:0.000725134 
iters:8100, batch:0, loss:0.000724469 
iters:8150, batch:0, loss:0.000723805 
iters:8200, batch:0, loss:0.000723142 
iters:8250, batch:0, loss:0.000722481 
iters:8300, batch:0, loss:0.000721821 
iters:8350, batch:0, loss:0.000721162 
iters:8400, batch:0, loss:0.000720505 
iters:8450, batch:0, loss:0.000719849 
iters:8500, batch:0, loss:0.000719194 
iters:8550, batch:0, loss:0.00071854 
iters:8600, batch:0, loss:0.000717887 
iters:8650, batch:0, loss:0.000717235 
iters:8700, batch:0, loss:0.000716586 
iters:8750, batch:0, loss:0.000715938 
iters:8800, batch:0, loss:0.000715292 
iters:8850, batch:0, loss:0.000714649 
iters:8900, batch:0, loss:0.000714005 
iters:8950, batch:0, loss:0.000713364 
iters:9000, batch:0, loss:0.000712723 
iters:9050, batch:0, loss:0.000712083 
iters:9100, batch:0, loss:0.000711446 
iters:9150, batch:0, loss:0.000710808 
iters:9200, batch:0, loss:0.000710171 
iters:9250, batch:0, loss:0.000709535 
iters:9300, batch:0, loss:0.000708901 
iters:9350, batch:0, loss:0.000708267 
iters:9400, batch:0, loss:0.000707635 
iters:9450, batch:0, loss:0.000707004 
iters:9500, batch:0, loss:0.000706374 
iters:9550, batch:0, loss:0.000705745 
iters:9600, batch:0, loss:0.000705118 
iters:9650, batch:0, loss:0.000704491 
iters:9700, batch:0, loss:0.000703866 
iters:9750, batch:0, loss:0.000703243 
iters:9800, batch:0, loss:0.00070262 
iters:9850, batch:0, loss:0.000701999 
iters:9900, batch:0, loss:0.000701379 
iters:9950, batch:0, loss:0.000700759 
iters:10000, batch:0, loss:0.000700141 
iters:10050, batch:0, loss:0.000699523 
iters:10100, batch:0, loss:0.000698908 
iters:10150, batch:0, loss:0.000698293 
iters:10200, batch:0, loss:0.000697679 
iters:10250, batch:0, loss:0.000697066 
iters:10300, batch:0, loss:0.000696454 
iters:10350, batch:0, loss:0.000695843 
iters:10400, batch:0, loss:0.000695233 
iters:10450, batch:0, loss:0.000694625 
iters:10500, batch:0, loss:0.000694018 
iters:10550, batch:0, loss:0.000693412 
iters:10600, batch:0, loss:0.000692808 
iters:10650, batch:0, loss:0.000692205 
iters:10700, batch:0, loss:0.000691602 
iters:10750, batch:0, loss:0.000691001 
iters:10800, batch:0, loss:0.000690402 
iters:10850, batch:0, loss:0.000689802 
iters:10900, batch:0, loss:0.000689204 
iters:10950, batch:0, loss:0.000688608 
iters:11000, batch:0, loss:0.000688011 
iters:11050, batch:0, loss:0.000687415 
iters:11100, batch:0, loss:0.000686821 
iters:11150, batch:0, loss:0.000686227 
iters:11200, batch:0, loss:0.000685634 
iters:11250, batch:0, loss:0.000685043 
iters:11300, batch:0, loss:0.000684452 
iters:11350, batch:0, loss:0.000683863 
iters:11400, batch:0, loss:0.000683274 
iters:11450, batch:0, loss:0.000682687 
iters:11500, batch:0, loss:0.0006821 
iters:11550, batch:0, loss:0.000681515 
iters:11600, batch:0, loss:0.000680931 
iters:11650, batch:0, loss:0.000680347 
iters:11700, batch:0, loss:0.000679764 
iters:11750, batch:0, loss:0.000679182 
iters:11800, batch:0, loss:0.000678602 
iters:11850, batch:0, loss:0.000678022 
iters:11900, batch:0, loss:0.000677444 
iters:11950, batch:0, loss:0.000676866 
iters:12000, batch:0, loss:0.000676289 
iters:12050, batch:0, loss:0.000675715 
iters:12100, batch:0, loss:0.000675142 
iters:12150, batch:0, loss:0.00067457 
iters:12200, batch:0, loss:0.000674 
iters:12250, batch:0, loss:0.00067343 
iters:12300, batch:0, loss:0.000672862 
iters:12350, batch:0, loss:0.000672295 
iters:12400, batch:0, loss:0.000671728 
iters:12450, batch:0, loss:0.000671164 
iters:12500, batch:0, loss:0.000670599 
iters:12550, batch:0, loss:0.000670037 
iters:12600, batch:0, loss:0.000669476 
iters:12650, batch:0, loss:0.000668916 
iters:12700, batch:0, loss:0.000668357 
iters:12750, batch:0, loss:0.000667798 
iters:12800, batch:0, loss:0.000667241 
iters:12850, batch:0, loss:0.000666684 
iters:12900, batch:0, loss:0.000666128 
iters:12950, batch:0, loss:0.000665574 
iters:13000, batch:0, loss:0.000665019 
iters:13050, batch:0, loss:0.000664468 
iters:13100, batch:0, loss:0.000663915 
iters:13150, batch:0, loss:0.000663364 
iters:13200, batch:0, loss:0.000662814 
iters:13250, batch:0, loss:0.000662266 
iters:13300, batch:0, loss:0.000661718 
iters:13350, batch:0, loss:0.000661172 
iters:13400, batch:0, loss:0.000660626 
iters:13450, batch:0, loss:0.000660081 
iters:13500, batch:0, loss:0.000659537 
iters:13550, batch:0, loss:0.000658994 
iters:13600, batch:0, loss:0.000658452 
iters:13650, batch:0, loss:0.000657911 
iters:13700, batch:0, loss:0.000657372 
iters:13750, batch:0, loss:0.000656833 
iters:13800, batch:0, loss:0.000656296 
iters:13850, batch:0, loss:0.000655761 
iters:13900, batch:0, loss:0.000655226 
iters:13950, batch:0, loss:0.000654694 
iters:14000, batch:0, loss:0.000654162 
iters:14050, batch:0, loss:0.000653632 
iters:14100, batch:0, loss:0.000653102 
